Altium Designer Pick and Place Locations
C:\Users\mgee\AppData\Local\Programs\Syncthing\lock in\walktimizer\walktimizer_v2\Project Outputs\Pick Place for walktimizer_v2.csv

========================================================================================================================
File Design Information:

Date:       01/02/26
Time:       00:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"U4","LM4861MX/NOPB","Top","FP-D0008A-MFG","35.4576","38.1450","0","IC AMP CLASS AB MONO 1.5W 8SOIC"
"U3","STM32G431CBT6","Top","FP-LQFP48-5B-MFG","19.1996","32.8775","180","MAINSTREAM ARM CORTEX-M4+ MCU 17"
"U2","AP7361C-33FGE-7","Top","FP-U-DFN3030-8_Type_E-MFG","19.8882","42.7659","180","IC REG LINEAR 3.3V 1A UDFN3030-8"
"U1","MCP73871T-2CCI/ML","Top","FP-C04-126-IPC_C","15.0218","44.7826","180","IC USB/AC BATT CHRGR W/PPM 20QFN"
"SW3","7914J-1-032","Top","FP-7914J-1-032-MFG","29.3995","31.2752","0","SWITCH TACTILE SPST-NO 0.1A 16V"
"SW2","7914J-1-032","Top","FP-7914J-1-032-MFG","29.3995","22.1104","0","SWITCH TACTILE SPST-NO 0.1A 16V"
"SW1","7914J-1-032","Top","FP-7914J-1-032-MFG","22.7906","22.1104","0","SWITCH TACTILE SPST-NO 0.1A 16V"
"SP1","GSPK2307P-8R1W","Top","GSPK2307P-8R1W-Footprint-1","53.2892","35.1596","90","8 ohm 1.7kHz Speakers ROHS 88dB 500 mW"
"R11","20 kO","Top","FP-RC0603-0_55-IPC_C","30.5137","36.2400","0","RES 20K OHM 1% 1/10W 0603

RC0603FR-0720KL"
"R10","20 kO","Top","FP-RC0603-0_55-IPC_C","35.4921","34.3096","0","RES 20K OHM 1% 1/10W 0603

RC0603FR-0720KL"
"R9","10 kO","BottomLayer","FP-RC0603-0_55-IPC_C","27.3530","32.4129","90","RES 10kO 1% 1/10W 0603

RC0603FR-0710KL"
"R8","240 kO","Top","FP-RT0603-MFG","9.3641","47.1590","0","RES 240K OHM 1/10W .1% SMD 0603

RT0603BRD07240KL"
"R7","10 kO","BottomLayer","FP-RC0603-0_55-IPC_C","21.1429","26.6294","0","RES 10kO 1% 1/10W 0603

RC0603FR-0710KL"
"R6","100 kO","Top","FP-RC0603-0_55-MFG","10.4995","44.8076","270","RES SMD 100K OHM 1% 1/10W 0603

RC0603FR-07100KL"
"R5","5.1 kO","Top","FP-CRCW0603-e3-IPC_C","4.7800","24.6368","180","RES Thick Film, 5.1kO, 1%, 0.1W, 100ppm/�C, 0603

CRCW06035K10FKEA"
"R4","470O","BottomLayer","FP-CRCW0603-e3-MFG","15.5186","49.2472","270","RES Thick Film, 470O, 1%, 0.1W, 100ppm/�C, 0603

CRCW0603470RFKEA"
"R3","10 kO","BottomLayer","FP-RC0603-0_55-IPC_C","12.0917","49.2472","90","RES 10kO 1% 1/10W 0603

RC0603FR-0710KL"
"R2","5.1 kO","Top","FP-CRCW0603-e3-IPC_C","4.7800","36.8800","180","RES Thick Film, 5.1kO, 1%, 0.1W, 100ppm/�C, 0603

CRCW06035K10FKEA"
"R1","5.1 kO","BottomLayer","FP-CRCW0603-e3-IPC_C","9.7245","47.5840","0","RES Thick Film, 5.1kO, 1%, 0.1W, 100ppm/�C, 0603

CRCW06035K10FKEA"
"J5","90131-0763","Top","FP-90131-0763-MFG","36.9576","28.0319","180","90131-0763 Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Top Entry Thru-Hole C-Grid III� Tray"
"J4","BM04B-SRSS-TBT(LF)(SN)","Top","FP-BM04B-SRSS-TBT_LF_SN-MFG","26.4065","48.7347","0","CONN HEADER SMD 4POS 1MM"
"J3","SLW-104-01-F-S","Top","SMTC-SLW-104-01-X-S","14.2891","25.5908","0","Low Profile Socket Strips, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 4-Pin, Female, RoHS"
"J2","S3B-ZR-SM4A-TF(LF)(SN)","Top","FP-S3B-ZR-SM4A-TF_LF_SN-MFG","4.0250","42.4180","90","CONN HEADER SMD R/A 3POS 1.5MM"
